offset,x,y,z,lat,lon
14460,257723.78,-1551238.5,2695.8778,75.55765851725685,-35.567004008351596
14480,257705.66,-1551230.0,2695.7516,75.55776174508537,-35.56760454751239
14500,257687.55,-1551221.6,2695.6253,75.55786405964083,-35.56820533300463
14520,257669.43,-1551213.2,2695.4994,75.5579663875438,-35.56880648653988
14540,257651.31,-1551204.8,2695.374,75.55806871389527,-35.56940764868124
14560,257633.2,-1551196.3,2695.2487,75.55817192063245,-35.57000786298057
14580,257615.08,-1551187.9,2695.1233,75.55827424388352,-35.57060904236458
14600,257596.97,-1551179.5,2694.9989,75.55837655068969,-35.57120987089872
14620,257578.85,-1551171.1,2694.8908,75.55847887083848,-35.57181106749214
14640,257560.74,-1551162.7,2694.7827,75.55858117454417,-35.57241191322941
14660,257542.62,-1551154.2,2694.6746,75.55868438843174,-35.573012530201076
14680,257524.5,-1551145.8,2694.5666,75.55878670392813,-35.573613752644064
14700,257506.39,-1551137.4,2694.4917,75.55888900298415,-35.57421462422143
14720,257488.27,-1551129.0,2694.4168,75.5589913153779,-35.57481586387436
14740,257470.16,-1551120.5,2694.3418,75.55909450818129,-35.57541615595767
14760,257452.04,-1551112.1,2694.2688,75.55919681747403,-35.576017412854206
14780,257433.93,-1551103.7,2694.1929,75.55929911032999,-35.57661831887251
14800,257415.81,-1551095.3,2694.1786,75.5594014165198,-35.57721959297941
14820,257397.7,-1551086.9,2694.1644,75.55950370627464,-35.577820516201776
14840,257379.58,-1551078.4,2694.1501,75.55960690621843,-35.5784212109887
14860,257361.46,-1551070.0,2694.1358,75.55970920775492,-35.579022510946594
14880,257343.35,-1551061.6,2694.1657,75.55981149285913,-35.5796234600105
14900,257325.23,-1551053.2,2694.1994,75.55991379129235,-35.58022477717929
14920,257307.12,-1551044.7,2694.2331,75.56001697015911,-35.580825147050966
14940,257289.0,-1551036.3,2694.2668,75.56011926549068,-35.58142648146431
14960,257270.89,-1551027.9,2694.3227,75.56022154439358,-35.58202746497106
14980,257252.77,-1551019.5,2694.399,75.5603238366216,-35.58262881659572
